,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
94,LKA,Sri Lanka,658.0540724846512,975.5928454002926,796.6545718976655,795.148620930448,835.145084976483,877.9231398630961,854.1708482543917,770.9787654295178,665.1061117984839,812.2884459746475
95,SDN,Sudan,7.026254205101122,10.19922231260206,10.247689562600481,10.757073104315928,10.94516585316164,11.316055887925268,11.547982539543401,11.551414456453932,11.511340958051349,11.189878582629674
96,SUR,Suriname,4924.501895377769,7043.831970990463,7638.078362572258,8996.45443567845,11252.958738361838,12041.232793352438,11839.725688777937,11879.57920590866,12187.854697703842,12343.825202624694
97,TWN,Taiwan,26.35336774056271,39.27729883619132,39.81155862536441,44.612307788697194,43.259636223711425,27.915830206548513,20.950458144747834,14.285427373211112,8.689784524840336,9.966196048681986
98,TZA,Tanzania,1176.904600146399,1812.3139949306676,1891.0530710450603,1810.6035389253905,1697.1737359482438,1595.9455778389147,1604.4143482348036,1928.574188592865,2210.622029311892,2295.097483794862
99,THA,Thailand,1783.5080179523723,2769.6811035226738,2871.8173123934203,3008.210500458105,3169.8845691317592,3308.0177012543895,3652.333294337251,4119.780880287193,4927.856699931328,5475.337181373974
100,TLS,Timor-Leste,38.92565287391603,47.63248532928392,47.24823146863763,47.00939598396935,53.554452413706706,51.629453033617814,56.34486131494636,57.11244097645115,57.59246439696042,54.41732339465295
101,TGO,Togo,2.1764012018967165,3.4338603902961142,4.062579579223742,4.497836717437144,3.9174546851494907,4.0142054743099695,3.627302768587034,4.0142088001548855,7.109491841691739,8.995720549030587
102,TON,Tonga,13.542222207812575,32.03179529295036,40.244045355089284,39.451276805119136,47.44981228470091,52.683872013979375,48.57496773799658,42.85996732265776,32.992158036911235,19.926141743233494
103,TTO,Trinidad and Tobago,114.36675159974388,152.31831471029503,157.3472824042297,172.56926686068934,193.5807585304616,196.6951283411135,198.75710313587433,231.00956497054125,256.70144175922246,250.00317933966906
104,TCA,Turks and Caicos Islands,124.44282907815635,221.22878545422813,238.6109865844807,193.02556518764925,173.63751568284914,234.42002956280666,244.46071605962146,232.60992095184199,247.3185211597976,342.0492343105393
105,ARE,United Arab Emirates,673.0864882563096,1326.984684645814,1188.8444408562452,753.1286341338581,337.824850251466,266.2417491447319,389.66609090237034,479.2124483380422,488.70692920173116,481.8375491509049
106,USA,United States,4472.798638790791,6750.552842870629,7350.156426483022,6510.518966231664,4954.598779990628,4260.041361731739,3814.8182699033187,3347.8870085447875,3844.2329886005455,4856.119443200321
107,VUT,Vanuatu,9.20201531052042,17.979729915317122,29.516386397090603,28.114367884769344,31.43351214452784,22.9370223225933,30.973920071859883,25.387943046463377,29.302023333986494,29.90437266632207
108,VEN,Venezuela,4583.966586572959,6009.3570729737985,6359.356258388985,6512.08021954192,7504.718909347094,8002.475241419126,8628.20508929048,9258.221939006668,9759.07640615672,9959.985798436035
109,VNM,Vietnam,3538.572326274092,5080.514404439838,5526.230480825627,5559.129078097247,6694.0743508011865,6984.825902380327,7559.1532159011485,6994.762977818163,6785.243934991221,8937.612504481582
110,VIR,"Virgin Islands, U.S.",6.627248592173737,11.632571214360375,12.929801346412276,15.064546272000879,20.54021168657708,17.29658340802761,18.689800230625885,17.342242761421126,19.941363035372426,20.683567444901392
111,YEM,Yemen,80.16012954096652,105.79520680184353,109.9831561557935,110.3528661997082,100.87984894432796,94.45416067626678,93.61007572129549,88.41725158398836,97.78787268667878,93.9825946089579
